Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-10-16,253.616,264.645,252.292,260.068,9021.35550505,2334724.72498,258.799769466
2015-10-15,250.256,255.999,249.353,253.566,6242.4066606,1580518.95242,253.190642383
2015-10-14,245.718,252.95,245.499,250.253,8201.12245614,2042279.143,249.024344402
2015-10-13,242.263,248.11,240.0,245.718,8539.80947587,2090844.12075,244.834984511
2015-10-12,244.45,245.0,241.263,242.263,7622.67926488,1855630.26744,243.435438244
2015-10-11,243.02,245.045,241.501,244.437,3494.2943378,849608.535907,243.141662886
2015-10-10,242.354,244.0,240.539,243.948,3727.82338553,903750.430141,242.433811014
2015-10-09,240.996,242.9,239.004,242.499,5595.97897893,1349014.49693,241.068542611
2015-10-08,240.694,243.996,240.0,240.996,5488.39312611,1326313.44892,241.657880266
2015-10-07,244.02,244.933,239.503,240.701,7608.78302377,1850054.90389,243.147280992
2015-10-06,238.111,245.176,237.097,244.02,9515.5274635,2296343.18511,241.325895377
2015-10-05,236.42,239.716,234.9,238.393,7706.2128435,1828248.84311,237.243491744
2015-10-04,236.634,237.2,235.004,236.406,2849.2053115,673573.095538,236.407356402
2015-10-03,234.397,237.4,233.5,236.724,3867.8123022,911804.292882,235.741608341
2015-10-02,235.65,237.2,233.186,234.397,5739.85516063,1352127.93631,235.568302417
2015-10-01,234.396,237.0,232.217,235.65,7059.62938602,1655513.8206,234.50435286
2015-09-30,235.358,237.0,233.0,234.368,6261.04278069,1476120.66401,235.762750027
2015-09-29,236.384,237.9,234.0,235.349,5556.85439512,1311799.41458,236.068703858
2015-09-28,231.62,237.189,230.988,236.42,8578.07498598,2016507.79183,235.076960171
2015-09-27,233.31,234.559,230.827,231.61,4366.09982179,1013560.55687,232.143239559
2015-09-26,231.973,234.187,230.135,233.31,4501.51293193,1044434.33506,232.018512631
2015-09-25,232.419,236.014,230.0,231.973,7634.58623941,1779929.99024,233.140334581
2015-09-24,228.729,234.4,228.692,232.378,6512.03905118,1508879.0732,231.70608489
2015-09-23,228.426,230.607,224.922,228.604,5627.70024515,1284042.58266,228.164707914
2015-09-22,224.765,230.5,224.001,228.426,8836.73257246,2015253.99637,228.054202144
2015-09-21,229.587,230.0,224.051,224.765,6543.79652263,1484345.30224,226.832435439
2015-09-20,229.559,231.367,228.393,229.587,2748.33444585,632109.040295,229.99713199
2015-09-19,229.58,230.473,227.225,229.574,4345.7921827,995624.50539,229.100809135
2015-09-18,231.308,234.71,228.145,229.9,7150.13376488,1650429.1527,230.824933766
2015-09-17,227.287,234.775,226.553,231.321,7138.37530435,1639731.66717,229.706564486
2015-09-16,226.99,229.499,224.1,227.421,6722.62111964,1525296.04048,226.890079529
2015-09-15,227.956,230.0,225.997,226.979,6520.27286396,1485654.88608,227.851643187
2015-09-14,228.745,230.0,226.11,228.0,8692.46029699,1984295.58865,228.277785673
2015-09-13,231.381,233.995,226.03,228.745,3647.90498843,837432.484994,229.565322466
2015-09-12,237.893,239.008,229.701,231.331,4939.15249748,1162557.24281,235.37585515
2015-09-11,237.034,238.97,235.51,237.933,5469.88237606,1299265.64727,237.530820215
2015-09-10,235.999,239.165,230.265,237.079,7908.20960605,1862119.54773,235.466640427
2015-09-09,241.99,243.5,233.012,236.0,6839.98875753,1622516.03913,237.210337128
2015-09-08,237.659,245.999,237.1,241.967,8129.6669193,1972298.2559,242.605050795
2015-09-07,234.001,243.0,234.0,237.653,8404.80506868,2002650.75819,238.274503908
2015-09-06,230.622,239.0,229.377,234.001,5774.36220042,1355573.26682,234.75722855
2015-09-05,226.185,231.991,224.2,230.583,6545.79063438,1493675.3411,228.188682548
2015-09-04,224.91,227.0,222.0,226.394,6255.83598624,1409779.46328,225.354287801
2015-09-03,225.38,226.0,222.25,224.92,5455.02429012,1222109.89341,224.033813309
2015-09-02,223.5,227.349,221.468,225.421,4565.01206599,1026847.76251,224.938674348
2015-09-01,227.987,229.484,221.227,223.784,5995.4663795,1348970.41523,224.998412108
2015-08-31,224.862,229.019,222.23,228.0,6988.68561535,1579946.20077,226.072009492
2015-08-30,226.487,228.423,222.42,224.99,3603.00235383,812608.389195,225.536458041
2015-08-29,227.843,229.876,224.0,226.5,4560.91914829,1032710.06974,226.425866401
2015-08-28,220.0,231.0,216.123,227.5,10645.11559,2397219.49062,225.194312861
2015-08-27,222.694,225.247,217.0,220.161,7320.65446153,1631500.95852,222.862719049
2015-08-26,219.409,227.887,217.576,222.849,10744.1944343,2398499.52905,223.236794877
2015-08-25,202.008,223.41,192.0,218.407,15157.6459775,3198580.3638,211.020917664
2015-08-24,222.587,224.086,200.0,201.909,12589.9013778,2685223.32954,213.283905009
2015-08-23,224.802,227.816,219.856,222.482,5332.75170171,1190125.52757,223.172874744
2015-08-22,227.491,230.0,217.601,225.503,5011.43391982,1127901.14127,225.065551959
2015-08-21,230.818,233.348,225.0,227.463,6088.27538714,1397283.81489,229.504042777
2015-08-20,218.165,234.983,218.165,230.784,6796.38477354,1558606.26093,229.328725913
2015-08-19,228.229,235.56,211.05,218.171,15219.0576194,3428173.97428,225.255338406
2015-08-18,254.8,255.756,220.0,227.445,8612.38090737,2092779.85508,242.99666696
2015-08-17,255.774,258.0,252.0,254.838,4076.45929938,1042576.50283,255.75540592
2015-08-16,256.499,258.99,250.01,256.486,4116.63446477,1051187.47635,255.351181977
2015-08-15,261.074,263.933,255.1,256.212,3314.61268473,864299.745819,260.754371031
2015-08-14,259.063,265.0,258.0,261.074,4032.95862529,1057840.02536,262.298754748
2015-08-13,259.601,262.6,257.476,259.062,4413.02699818,1148115.91916,260.165169991
2015-08-12,268.898,269.633,259.5,259.6,5415.20460017,1424316.34643,263.021704921
